"","group","date","id","behav_code","domain","date2","year","domain_index","behavior_index","others","YEARmatch","group_index","mono_index","age","logage","logage.c","groupsize.c","ranklo","rankhi","male","sociality.s","groupsize","age.c"
"28","AA","3/26/07 12:57","MZ","HANDSTAND_CARTWHEEL","investigative","2007-03-26",2007,2,30,0,2007,1,72,3,1.09861228866811,-0.899303358529766,1.6309067688378,1,0,1,1.03225848737643,1.6309067688378,-5.40495867768595
"29","FF","6/3/11 11:17","BM","HIND_LEG_BRANCH_WALK","investigative","2011-06-03",2011,2,32,0,2011,3,9,3,1.09861228866811,-0.899303358529766,-2.3690932311622,1,0,1,1.08856496668994,-2.3690932311622,-5.40495867768595
"30","FF","3/13/07 11:56","KT","HIT_GAME_MANGO","investigative","2007-03-13",2007,2,33,0,2007,3,49,4,1.38629436111989,-0.611621286077985,15.6309067688378,0,0,0,0.50438524381224,15.6309067688378,-4.40495867768595
"31","RR","8/3/08 09:45","RT","INSPECT_DEAD","investigative","2008-08-03",2008,2,41,0,2008,8,94,5,1.6094379124341,-0.388477734763775,7.6309067688378,1,0,0,-0.495054764002625,7.6309067688378,-3.40495867768595
"32","AA","4/7/09 10:23","NE","JUGGLING/PASSING OBJECTS","investigative","2009-04-07",2009,2,42,1,2009,1,74,3,1.09861228866811,-0.899303358529766,3.6309067688378,1,0,0,1.28563764428724,3.6309067688378,-5.40495867768595
"33","FF","6/18/08 10:12","TN","JUGGLING/PASSING OBJECTS","investigative","2008-06-18",2008,2,42,0,2008,3,108,4,1.38629436111989,-0.611621286077985,-3.3690932311622,1,0,1,0.307312566214942,-3.3690932311622,-4.40495867768595
"34","MK","7/25/11 07:38","NH","JUGGLING/PASSING OBJECTS","investigative","2011-07-25",2011,2,42,0,2011,5,75,6,1.79175946922805,-0.20615617796982,3.6309067688378,1,0,1,0.384733975271023,3.6309067688378,-2.40495867768595
"35","RF","1/8/10 09:19","PX","JUGGLING/PASSING OBJECTS","investigative","2010-01-08",2010,2,42,0,2010,7,85,4,1.38629436111989,-0.611621286077985,-4.3690932311622,0,0,1,0.961875388234536,-4.3690932311622,-4.40495867768595
"36","FF","5/20/08 14:30","TH","MIRROR","investigative","2008-05-20",2008,2,48,1,2008,3,106,6,1.79175946922805,-0.20615617796982,-3.3690932311622,1,0,0,-0.811778710141138,-3.3690932311622,-2.40495867768595
"37","FF","9/1/07 11:00","LX","MOUTH_ROPE_FEED","investigative","2007-09-01",2007,2,49,0,2007,3,58,9,2.19722457733622,0.199308930138344,15.6309067688378,0,1,1,-0.290943776491139,15.6309067688378,0.595041322314049
"38","MK","7/23/11 14:07","WS","MUD_PUSH","investigative","2011-07-23",2011,2,50,0,2011,5,117,4,1.38629436111989,-0.611621286077985,-2.3690932311622,0,0,1,0.595883272696699,-2.3690932311622,-4.40495867768595
"39","MK","7/23/11 14:10","BJ","MUD_SLAP","investigative","2011-07-23",2011,2,51,0,2011,5,7,7,1.94591014905531,-0.0520054981425622,-2.3690932311622,0,0,1,0.0750483390466992,-2.3690932311622,-1.40495867768595
"40","AA","2/3/11 08:01","DG","OBJECT_PLAY_BOTTLE","investigative","2011-02-03",2011,2,54,0,2011,1,17,5,1.6094379124341,-0.388477734763775,6.6309067688378,0,1,1,0.41288721492778,6.6309067688378,-3.40495867768595
"41","AA","11/4/07 11:37","OW","OBJECT_PLAY_BUBBLE","investigative","2007-11-04",2007,2,55,0,2007,1,80,4,1.38629436111989,-0.611621286077985,1.6309067688378,0,0,1,0.462155384327104,1.6309067688378,-4.40495867768595
"42","SP","12/5/11 09:11","AS","OBJECT_PLAY_DOLL","investigative","2011-12-05",2011,2,56,0,2011,9,3,4,1.38629436111989,-0.611621286077985,4.6309067688378,1,0,0,-0.62174434245803,4.6309067688378,-4.40495867768595
"43","RR","5/18/07 09:02","RU","OBJECT_PLAY_FRUIT_TAP_ROLL_IN_MOUTH","investigative","2007-05-18",2007,2,57,0,2007,8,95,7,1.94591014905531,-0.0520054981425622,6.6309067688378,0,0,1,0.215814537330483,6.6309067688378,-1.40495867768595
"44","AA","7/6/08 13:44","KY","OBJECT_PLAY_FRUIT_TREEHOLE_DUNK","investigative","2008-07-06",2008,2,58,0,2008,1,50,5,1.6094379124341,-0.388477734763775,1.6309067688378,0,0,0,-0.783625470484382,1.6309067688378,-3.40495867768595
"45","FF","2/16/07 16:07","TN","OBJECT_PLAY_HOTPOTATO","investigative","2007-02-16",2007,2,59,1,2007,3,108,3,1.09861228866811,-0.899303358529766,15.6309067688378,1,0,1,1.28563764428724,15.6309067688378,-5.40495867768595
"46","MK","5/23/07 09:03","TD","OBJECT_PLAY_HOTPOTATO","investigative","2007-05-23",2007,2,59,0,2007,5,103,5,1.6094379124341,-0.388477734763775,-2.3690932311622,0,0,0,0.567730033039942,-2.3690932311622,-3.40495867768595
"47","RR","5/15/07 13:10","RU","OBJECT_PLAY_HOTPOTATO","investigative","2007-05-15",2007,2,59,1,2007,8,95,7,1.94591014905531,-0.0520054981425622,6.6309067688378,0,0,1,0.215814537330483,6.6309067688378,-1.40495867768595
"48","AA","1/16/11 11:49","QM","OBJECT_PLAY_LEAF","investigative","2011-01-16",2011,2,60,1,2011,1,88,2,0.693147180559945,-1.30476846663793,6.6309067688378,1,0,1,2.81998920558048,6.6309067688378,-6.40495867768595
"49","MK","8/17/11 13:24","BJ","OBJECT_PLAY_LEAF","investigative","2011-08-17",2011,2,60,0,2011,5,7,7,1.94591014905531,-0.0520054981425622,-2.3690932311622,0,0,1,0.0750483390466992,-2.3690932311622,-1.40495867768595
"50","AA","12/18/10 10:49","DG","OBJECT_PLAY_LEAF_HIT","investigative","2010-12-18",2010,2,61,0,2010,1,17,4,1.38629436111989,-0.611621286077985,4.6309067688378,0,0,1,0.110239888617645,4.6309067688378,-4.40495867768595
"51","FF","6/20/07 11:58","ST","OBJECT_PLAY_LEAF_TREEHOLE","investigative","2007-06-20",2007,2,62,0,2007,3,101,2,0.693147180559945,-1.30476846663793,15.6309067688378,1,0,0,0.434002144670348,15.6309067688378,-6.40495867768595
"52","RF","6/18/08 12:19","RS","OBJECT_PLAY_LEAFLITTER_PUSHING","investigative","2008-06-18",2008,2,63,1,2008,7,93,3,1.09861228866811,-0.899303358529766,-8.3690932311622,1,0,0,0.595883272696699,-8.3690932311622,-5.40495867768595
"53","FL","3/18/10 09:52","JU","OBJECT_PLAY_PLANT_WRESTLE","investigative","2010-03-18",2010,2,64,0,2010,4,43,6,1.79175946922805,-0.20615617796982,-10.3690932311622,0,0,1,-0.326135326062085,-10.3690932311622,-2.40495867768595
"54","CU","9/5/07 12:39","CH","OBJECT_PLAY_PLANT_WRESTLE","investigative","2007-09-05",2007,2,64,0,2007,2,11,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-0.811778710141138,-9.3690932311622,-2.40495867768595
"55","FF","12/3/07 07:07","OT","OBJECT_PLAY_PLANT_WRESTLE","investigative","2007-12-03",2007,2,64,0,2007,3,79,2,0.693147180559945,-1.30476846663793,15.6309067688378,1,0,0,1.58828497059737,15.6309067688378,-6.40495867768595
"56","RR","4/21/10 11:22","EC","OBJECT_PLAY_PLANT_WRESTLE","investigative","2010-04-21",2010,2,64,0,2010,8,26,2,0.693147180559945,-1.30476846663793,10.6309067688378,1,0,0,1.84166412750818,10.6309067688378,-6.40495867768595
"57","FF","6/24/09 08:50","TE","OBJECT_PLAY_RACHET","investigative","2009-06-24",2009,2,65,0,2009,3,104,2,0.693147180559945,-1.30476846663793,-4.3690932311622,1,0,1,1.75720440853792,-4.3690932311622,-6.40495867768595
"58","RR","6/5/10 16:19","PD","OBJECT_PLAY_ROCK_BITE","investigative","2010-06-05",2010,2,66,0,2010,8,81,6,1.79175946922805,-0.20615617796982,10.6309067688378,0,0,0,0.666266371838591,10.6309067688378,-2.40495867768595
