"","group","date","ID","behav_code","domain","date2","year","others","domain_index","behavior_index","group_index","id"
"205","RR","8/6/09 11:31","BE,TK","SLOBBER_SPINE","social",2009-08-06,2009,0,4,100,8,"BE"
"206","RR","8/6/09 11:31","BE,TK","SLOBBER_SPINE","social",2009-08-06,2009,0,4,100,8,"TK"
"207","CU","11/6/11 11:09","RW","SUCK_BODY_PART","social",2011-11-06,2011,1,4,103,2,"RW"
"208","MK","11/18/11 09:56","LH,HN","SUCK_BODY_PART","social",2011-11-18,2011,0,4,103,5,"LH"
"209","MK","11/18/11 09:56","LH,HN","SUCK_BODY_PART","social",2011-11-18,2011,0,4,103,5,"HN"
"210","NM","2/15/11 11:59","GL,LL","SUCK_BODY_PART","social",2011-02-15,2011,1,4,103,6,"GL"
"211","NM","2/15/11 11:59","GL,LL","SUCK_BODY_PART","social",2011-02-15,2011,1,4,103,6,"LL"
"212","SP","9/4/09 11:42","TX,KK","SUCK_BODY_PART","social",2009-09-04,2009,1,4,103,9,"TX"
"213","SP","9/4/09 11:42","TX,KK","SUCK_BODY_PART","social",2009-09-04,2009,1,4,103,9,"KK"
"214","FL","6/23/11 14:04","EQ","SUCK_CLITORIS","social",2011-06-23,2011,0,4,104,4,"EQ"
"215","FF","3/18/11 08:05","AV,OD","SWING HEAD WHACK","social",2011-03-18,2011,0,4,105,3,"AV"
"216","FF","3/18/11 08:05","AV,OD","SWING HEAD WHACK","social",2011-03-18,2011,0,4,105,3,"OD"
"217","RR","6/7/11 13:41","BE,TK","TAIL NIPS","social",2011-06-07,2011,0,4,107,8,"BE"
"218","RR","6/7/11 13:41","BE,TK","TAIL NIPS","social",2011-06-07,2011,0,4,107,8,"TK"
"219","MK","3/23/10 14:33","BK","TAIL-MOUTH-SPIN","social",2010-03-23,2010,0,4,108,5,"BK"
"220","FF","4/8/10 14:18","OD,PF","TAILCHEW_FACEKICK","social",2010-04-08,2010,0,4,110,3,"OD"
"221","FF","4/8/10 14:18","OD,PF","TAILCHEW_FACEKICK","social",2010-04-08,2010,0,4,110,3,"PF"
"222","MK","9/12/07 05:50","BK,DH","TAILPULL_SEX_INITIATE","social",2007-09-12,2007,0,4,113,5,"BK"
"223","MK","9/12/07 05:50","BK,DH","TAILPULL_SEX_INITIATE","social",2007-09-12,2007,0,4,113,5,"DH"
"224","RR","10/7/08 10:27","MU,RY","TAP_PLAYWRESTLE","social",2008-10-07,2008,0,4,114,8,"MU"
"225","RR","10/7/08 10:27","MU,RY","TAP_PLAYWRESTLE","social",2008-10-07,2008,0,4,114,8,"RY"
"226","FL","7/26/07 11:18","TU,LN","THROW_JUGGLE_MONKEY","social",2007-07-26,2007,0,4,117,4,"TU"
