id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
GS,2011,1,84,289,54.3,0,2,investigative,6,5.666426688,RR,RR,mid,0,-0.102415704,1.791759469,-0.008433801,9,5,0,1,0,0,2.819332566,0,0
GS,2011,1,84,289,54.3,0,4,social,6,5.666426688,RR,RR,mid,0,-0.102415704,1.791759469,-0.008433801,9,5,0,1,0,0,2.819332566,0,0
GT,2007,1,85,587,68.4,0,4,social,4,6.37502482,RR,RR,low,1,0.650457694,1.386294361,-0.413898909,9,1,0,0,1,0,6.819332566,1,1
GT,2007,1,85,587,68.4,0,1,foraging,4,6.37502482,RR,RR,low,1,0.650457694,1.386294361,-0.413898909,9,1,0,0,1,0,6.819332566,1,1
GT,2007,1,85,587,68.4,0,3,self-directed,4,6.37502482,RR,RR,low,1,0.650457694,1.386294361,-0.413898909,9,1,0,0,1,0,6.819332566,1,1
GT,2007,1,85,587,68.4,1,2,investigative,4,6.37502482,RR,RR,low,1,0.650457694,1.386294361,-0.413898909,9,1,0,0,1,1,6.819332566,1,1
GT,2008,1,85,673,67.2,0,3,self-directed,5,6.51174533,RR,RR,mid,1,0.586383362,1.609437912,-0.190755358,9,2,0,1,0,0,7.819332566,1,1
GT,2008,1,85,673,67.2,1,4,social,5,6.51174533,RR,RR,mid,1,0.586383362,1.609437912,-0.190755358,9,2,0,1,0,1,7.819332566,1,1
GT,2008,1,85,673,67.2,0,1,foraging,5,6.51174533,RR,RR,mid,1,0.586383362,1.609437912,-0.190755358,9,2,0,1,0,0,7.819332566,1,1
GT,2008,1,85,673,67.2,0,2,investigative,5,6.51174533,RR,RR,mid,1,0.586383362,1.609437912,-0.190755358,9,2,0,1,0,0,7.819332566,1,1
GT,2009,1,85,1010,61.6,0,2,investigative,6,6.91770561,RR,RR,mid,1,0.287369814,1.791759469,-0.008433801,9,3,0,1,0,0,7.819332566,1,1
GT,2009,1,85,1010,61.6,0,3,self-directed,6,6.91770561,RR,RR,mid,1,0.287369814,1.791759469,-0.008433801,9,3,0,1,0,0,7.819332566,1,1
GT,2009,1,85,1010,61.6,0,1,foraging,6,6.91770561,RR,RR,mid,1,0.287369814,1.791759469,-0.008433801,9,3,0,1,0,0,7.819332566,1,1
GT,2009,1,85,1010,61.6,1,4,social,6,6.91770561,RR,RR,mid,1,0.287369814,1.791759469,-0.008433801,9,3,0,1,0,1,7.819332566,1,1
GT,2010,1,85,1806,52.2,0,3,self-directed,7,7.498869734,RR,RR,mid,3,-0.214545784,1.945910149,0.145716879,9,4,0,1,0,0,10.81933257,1,1
GT,2010,1,85,1806,52.2,0,2,investigative,7,7.498869734,RR,RR,mid,3,-0.214545784,1.945910149,0.145716879,9,4,0,1,0,0,10.81933257,1,1
GT,2010,1,85,1806,52.2,1,1,foraging,7,7.498869734,RR,RR,mid,3,-0.214545784,1.945910149,0.145716879,9,4,0,1,0,1,10.81933257,1,1
GT,2010,1,85,1806,52.2,0,4,social,7,7.498869734,RR,RR,mid,3,-0.214545784,1.945910149,0.145716879,9,4,0,1,0,0,10.81933257,1,1
GT,2011,1,85,765,56.6,0,2,investigative,8,6.639875834,RR,RR,high,0,0.020393432,2.079441542,0.279248272,9,5,1,0,0,0,2.819332566,1,1
GT,2011,1,85,765,56.6,0,1,foraging,8,6.639875834,RR,RR,high,0,0.020393432,2.079441542,0.279248272,9,5,1,0,0,0,2.819332566,1,1
GT,2011,1,85,765,56.6,0,4,social,8,6.639875834,RR,RR,high,0,0.020393432,2.079441542,0.279248272,9,5,1,0,0,0,2.819332566,1,1
GT,2011,1,85,765,56.6,0,3,self-directed,8,6.639875834,RR,RR,high,0,0.020393432,2.079441542,0.279248272,9,5,1,0,0,0,2.819332566,1,1
GU,2009,1,86,121,38.7,0,2,investigative,8,4.795790546,SP,SP,high,0,-0.935382016,2.079441542,0.279248272,10,3,1,0,0,0,-0.180667434,1,1
GU,2009,1,86,121,38.7,0,3,self-directed,8,4.795790546,SP,SP,high,0,-0.935382016,2.079441542,0.279248272,10,3,1,0,0,0,-0.180667434,1,1
GU,2009,1,86,121,38.7,0,1,foraging,8,4.795790546,SP,SP,high,0,-0.935382016,2.079441542,0.279248272,10,3,1,0,0,0,-0.180667434,1,1
GU,2009,1,86,121,38.7,0,4,social,8,4.795790546,SP,SP,high,0,-0.935382016,2.079441542,0.279248272,10,3,1,0,0,0,-0.180667434,1,1
GU,2010,1,86,1469,37.1,0,2,investigative,9,7.292337176,SP,SP,high,0,-1.020814459,2.197224577,0.397031307,10,4,1,0,0,0,8.819332566,1,1
GU,2010,1,86,1469,37.1,0,3,self-directed,9,7.292337176,SP,SP,high,0,-1.020814459,2.197224577,0.397031307,10,4,1,0,0,0,8.819332566,1,1
GU,2010,1,86,1469,37.1,0,4,social,9,7.292337176,SP,SP,high,0,-1.020814459,2.197224577,0.397031307,10,4,1,0,0,0,8.819332566,1,1
GU,2010,1,86,1469,37.1,0,1,foraging,9,7.292337176,SP,SP,high,0,-1.020814459,2.197224577,0.397031307,10,4,1,0,0,0,8.819332566,1,1
GU,2011,1,86,350,39.5,0,2,investigative,10,5.857933154,SP,SP,high,1,-0.892665795,2.302585093,0.502391823,10,5,1,0,0,0,4.819332566,1,1
